Marca temporal,Participante,Carrera,Primer puesto,Segundo puesto,Tercer puesto,Cuarto puesto,Quinto puesto,Sexto puesto,Séptimo puesto,Octavo puesto,Noveno puesto,Décimo puesto,Vuelta Rápida,Franco Colapinto
5/09/2026 17:01:50,riquerole,Italia,George Russell,Oscar Piastri,Charles Leclerc,Lewis Hamilton,Pierre Gasly,Max Verstappen,Franco Colapinto,Lando Norris,Kimi Antonelli,Gabriel Bortoletto,George Russell,Séptimo Puesto
5/09/2026 19:29:02,miriquero,Italia,George Russell,Charles Leclerc,Kimi Antonelli,Pierre Gasly,Lewis Hamilton,Max Verstappen,Oscar Piastri,Lando Norris,Franco Colapinto,Arvid Lindblad,George Russell,Décimo Puesto
5/09/2026 22:22:33,eugeniabanini,Italia,George Russell,Charles Leclerc,Oscar Piastri,Pierre Gasly,Lewis Hamilton,Max Verstappen,Lando Norris,Franco Colapinto,Arvid Lindblad,Olie Bearman,Charles Leclerc,Octavo Puesto
5/09/2026 23:44:39,riqueropetiniha,Italia,Lewis Hamilton,Charles Leclerc,Pierre Gasly,Max Verstappen,Lando Norris,Franco Colapinto,Oscar Piastri,Kimi Antonelli,Liam Lawson,Nico Hülkenberg,Lewis Hamilton,Sexto Puesto
6/09/2026 4:03:50,riquerorori1993,Italia,George Russell,Charles Leclerc,Oscar Piastri,Max Verstappen,Pierre Gasly,Lando Norris,Franco Colapinto,Lewis Hamilton,Kimi Antonelli,Gabriel Bortoletto,Max Verstappen,Séptimo Puesto
6/09/2026 6:13:47,alinaiaraceleste,Italia,George Russell,Charles Leclerc,Kimi Antonelli,Pierre Gasly,Lewis Hamilton,Max Verstappen,Lando Norris,Oscar Piastri,Arvid Lindblad,Franco Colapinto,George Russell,Décimo Puesto
6/09/2026 9:29:55,friquero,Italia,George Russell,Pierre Gasly,Charles Leclerc,Oscar Piastri,Lewis Hamilton,Franco Colapinto,Kimi Antonelli,Max Verstappen,Lando Norris,Arvid Lindblad,Pierre Gasly,Sexto Puesto
6/09/2026 9:50:36,damiantourres,Italia,George Russell,Lewis Hamilton,Charles Leclerc,Kimi Antonelli,Lando Norris,Pierre Gasly,Max Verstappen,Arvid Lindblad,Franco Colapinto,Nico Hülkenberg,George Russell,Noveno Puesto
