Marca temporal,Participante,Carrera,Primer puesto,Segundo puesto,Tercer puesto,Cuarto puesto,Quinto puesto,Sexto puesto,Séptimo puesto,Octavo puesto,Noveno puesto,Décimo puesto,Vuelta Rápida,Franco Colapinto
28/06/2026 1:40:09,friquero,Austria,Lewis Hamilton,Charles Leclerc,Kimi Antonelli,George Russell,Lando Norris,Max Verstappen,Liam Lawson,Isack Hadjar,Arvid Lindblad,Pierre Gasly,Kimi Antonelli,Décimo Tercer Puesto
28/06/2026 1:58:29,riquerole,Austria,George Russell,Charles Leclerc,Kimi Antonelli,Lewis Hamilton,Max Verstappen,Lando Norris,Oscar Piastri,Isack Hadjar,Liam Lawson,Arvid Lindblad,George Russell,Décimo Cuarto Puesto
28/06/2026 2:55:42,lautarotourres,Austria,Lewis Hamilton,Kimi Antonelli,George Russell,Charles Leclerc,Max Verstappen,Isack Hadjar,Lando Norris,Pierre Gasly,Oscar Piastri,Liam Lawson,Kimi Antonelli,Décimo Segundo Puesto
28/06/2026 5:58:48,damiantourres,Austria,Kimi Antonelli,George Russell,Lewis Hamilton,Lando Norris,Max Verstappen,Oscar Piastri,Isack Hadjar,Arvid Lindblad,Pierre Gasly,Nico Hülkenberg,Kimi Antonelli,Décimo Segundo Puesto
28/06/2026 6:39:24,alinaiaraceleste,Austria,Kimi Antonelli,George Russell,Lewis Hamilton,Max Verstappen,Charles Leclerc,Oscar Piastri,Lando Norris,Isack Hadjar,Liam Lawson,Arvid Lindblad,Kimi Antonelli,Décimo Tercer Puesto
28/06/2026 6:56:48,eugeniabanini,Austria,George Russell,Kimi Antonelli,Lewis Hamilton,Max Verstappen,Charles Leclerc,Lando Norris,Oscar Piastri,Isack Hadjar,Liam Lawson,Pierre Gasly,Kimi Antonelli,Décimo Segundo Puesto
28/06/2026 8:48:17,miriquero,Austria,George Russell,Charles Leclerc,Kimi Antonelli,Lewis Hamilton,Max Verstappen,Lando Norris,Oscar Piastri,Isack Hadjar,Liam Lawson,Arvid Lindblad,Kimi Antonelli,Décimo Tercer Puesto
28/06/2026 8:58:43,riqueropetiniha,Austria,Charles Leclerc,Oscar Piastri,Kimi Antonelli,Max Verstappen,Lando Norris,Isack Hadjar,Lewis Hamilton,Arvid Lindblad,Pierre Gasly,Liam Lawson,Max Verstappen,Décimo Segundo Puesto
