Marca temporal,Participante,Carrera,Primer puesto,Segundo puesto,Tercer puesto,Cuarto puesto,Quinto puesto,Sexto puesto,Séptimo puesto,Octavo puesto,Noveno puesto,Décimo puesto,Vuelta Rápida,Franco Colapinto
28/03/2026 16:25:10,riquerorori1993,Japon,Kimi Antonelli,George Russell,Oscar Piastri,Charles Leclerc,Lando Norris,Lewis Hamilton,Max Verstappen,Pierre Gasly,Isack Hadjar,Gabriel Bortoletto,Kimi Antonelli,Décimo Segundo Puesto
28/03/2026 22:37:54,eugeniabanini,Japon,George Russell,Kimi Antonelli,Charles Leclerc,Oscar Piastri,Lewis Hamilton,Lando Norris,Max Verstappen,Isack Hadjar,Arvid Lindblad,Pierre Gasly,George Russell,Décimo Segundo Puesto
28/03/2026 22:44:22,miriquero,Japon,George Russell,Kimi Antonelli,Charles Leclerc,Lewis Hamilton,Oscar Piastri,Lando Norris,Max Verstappen,Pierre Gasly,Olie Bearman,Gabriel Bortoletto,George Russell,Décimo Segundo Puesto
28/03/2026 23:10:55,alinaiaraceleste,Japon,Kimi Antonelli,George Russell,Oscar Piastri,Charles Leclerc,Lewis Hamilton,Lando Norris,Max Verstappen,Pierre Gasly,Gabriel Bortoletto,Isack Hadjar,Kimi Antonelli,Décimo Cuarto Puesto
28/03/2026 23:55:06,riquerole,Japon,George Russell,Kimi Antonelli,Charles Leclerc,Lewis Hamilton,Lando Norris,Oscar Piastri,Max Verstappen,Pierre Gasly,Isack Hadjar,Gabriel Bortoletto,Lewis Hamilton,Décimo Segundo Puesto
29/03/2026 0:14:22,sergiopede92,Japon,George Russell,Oscar Piastri,Kimi Antonelli,Lando Norris,Charles Leclerc,Lewis Hamilton,Pierre Gasly,Olie Bearman,Max Verstappen,Franco Colapinto,Kimi Antonelli,Décimo Puesto
29/03/2026 0:36:37,riqueropetiniha,Japon,George Russell,Kimi Antonelli,Charles Leclerc,Oscar Piastri,Lewis Hamilton,Lando Norris,Max Verstappen,Pierre Gasly,Isack Hadjar,Franco Colapinto,George Russell,Décimo Puesto
