Marca temporal,Participante,Carrera,Primer puesto,Segundo puesto,Tercer puesto,Cuarto puesto,Quinto puesto,Sexto puesto,Séptimo puesto,Octavo puesto,Noveno puesto,Décimo puesto,Vuelta Rápida,Franco Colapinto
13/09/2026 0:15:04,riquerole,Madrid,Kimi Antonelli,George Russell,Max Verstappen,Lando Norris,Charles Leclerc,Lewis Hamilton,Oscar Piastri,Franco Colapinto,Liam Lawson,Arvid Lindblad,Kimi Antonelli,Octavo Puesto
13/09/2026 0:46:24,riqueropetiniha,Madrid,Kimi Antonelli,Max Verstappen,Lando Norris,George Russell,Lewis Hamilton,Charles Leclerc,Liam Lawson,Franco Colapinto,Arvid Lindblad,Gabriel Bortoletto,Kimi Antonelli,Octavo Puesto
13/09/2026 4:31:15,riquerorori1993,Madrid,Kimi Antonelli,Lando Norris,Max Verstappen,Lewis Hamilton,Charles Leclerc,George Russell,Oscar Piastri,Franco Colapinto,Liam Lawson,Arvid Lindblad,Max Verstappen,Octavo Puesto
13/09/2026 8:45:22,alinaiaraceleste,Madrid,Kimi Antonelli,George Russell,Max Verstappen,Lando Norris,Lewis Hamilton,Charles Leclerc,Oscar Piastri,Liam Lawson,Arvid Lindblad,Franco Colapinto,Kimi Antonelli,Décimo Puesto
13/09/2026 9:01:59,damiantourres,Madrid,Kimi Antonelli,Lando Norris,Max Verstappen,George Russell,Charles Leclerc,Lewis Hamilton,Liam Lawson,Nico Hülkenberg,Franco Colapinto,Gabriel Bortoletto,Charles Leclerc,Noveno Puesto
13/09/2026 9:35:22,eugeniabanini,Madrid,Kimi Antonelli,Max Verstappen,Lando Norris,Lewis Hamilton,George Russell,Oscar Piastri,Charles Leclerc,Franco Colapinto,Liam Lawson,Gabriel Bortoletto,Max Verstappen,Octavo Puesto
13/09/2026 9:43:51,miriquero,Madrid,Kimi Antonelli,George Russell,Lewis Hamilton,Charles Leclerc,Lando Norris,Max Verstappen,Oscar Piastri,Liam Lawson,Franco Colapinto,Arvid Lindblad,Charles Leclerc,Décimo Puesto
13/09/2026 9:44:46,friquero,Madrid,Lando Norris,Kimi Antonelli,Max Verstappen,Lewis Hamilton,George Russell,Charles Leclerc,Oscar Piastri,Franco Colapinto,Liam Lawson,Pierre Gasly,Max Verstappen,Séptimo Puesto
